id,colorCabello,colorOjos,estatura,colorPiel,cantIdiomas,deporteFav,estudiosAc,tomaMate,esArgentino
264,oscuro,claros,alto,oscuro,2,futbol,hasta secundaria,si,si
265,claro,oscuros,bajo,claro,3,baseball,hasta secundaria,no,no
266,claro,oscuros,mediano,claro,3,futbol,hasta secundaria,si,no
267,claro,oscuros,mediano,oscuro,1,futbol,hasta secundaria,si,si
268,oscuro,oscuros,alto,oscuro,3,futbol,hasta primaria,no,no
269,oscuro,oscuros,alto,oscuro,3,baseball,universitario,si,no
270,claro,claros,alto,oscuro,2,baseball,hasta secundaria,si,no
271,claro,oscuros,bajo,claro,3,baseball,hasta primaria,no,no
272,claro,claros,bajo,claro,3,baseball,universitario,no,no
273,oscuro,claros,mediano,claro,3,baseball,hasta secundaria,no,no
274,claro,claros,mediano,claro,3,baseball,universitario,no,no
275,oscuro,oscuros,alto,oscuro,3,futbol,universitario,no,no
276,oscuro,oscuros,alto,oscuro,2,baseball,universitario,si,si
277,oscuro,claros,alto,oscuro,1,futbol,hasta primaria,si,si
278,claro,oscuros,alto,oscuro,1,futbol,hasta secundaria,si,si
279,oscuro,oscuros,bajo,claro,3,futbol,hasta secundaria,si,no
280,claro,oscuros,mediano,oscuro,1,baseball,hasta primaria,no,no
281,oscuro,oscuros,bajo,claro,2,futbol,hasta secundaria,no,no
282,oscuro,claros,bajo,oscuro,1,futbol,hasta primaria,si,si
283,oscuro,oscuros,alto,oscuro,3,futbol,hasta primaria,si,no
284,oscuro,oscuros,mediano,claro,2,futbol,hasta primaria,si,si
285,oscuro,claros,bajo,oscuro,2,baseball,hasta primaria,no,no
286,claro,oscuros,mediano,claro,1,baseball,hasta primaria,no,no
287,claro,claros,mediano,claro,2,futbol,hasta primaria,no,no
288,oscuro,oscuros,bajo,claro,2,baseball,universitario,si,si
289,oscuro,oscuros,mediano,oscuro,1,baseball,hasta primaria,si,si
290,oscuro,oscuros,bajo,oscuro,3,baseball,universitario,no,no
291,claro,oscuros,bajo,oscuro,2,futbol,hasta primaria,no,no
292,claro,claros,mediano,oscuro,2,baseball,universitario,no,no
293,claro,oscuros,alto,oscuro,3,baseball,universitario,si,no
294,oscuro,oscuros,alto,claro,1,baseball,hasta primaria,si,si
295,claro,claros,bajo,oscuro,2,futbol,hasta secundaria,no,no
296,claro,claros,bajo,claro,3,futbol,universitario,si,no
297,claro,claros,mediano,claro,2,baseball,universitario,no,no
298,oscuro,oscuros,bajo,oscuro,2,futbol,hasta primaria,no,no
299,claro,claros,mediano,oscuro,1,futbol,universitario,si,si
300,claro,oscuros,bajo,claro,1,futbol,universitario,si,si
301,claro,claros,bajo,claro,1,futbol,hasta primaria,si,si
302,oscuro,claros,mediano,oscuro,2,futbol,hasta secundaria,si,si
303,claro,oscuros,mediano,claro,2,futbol,hasta primaria,si,si
304,claro,oscuros,bajo,claro,1,baseball,hasta secundaria,si,si
305,oscuro,claros,bajo,oscuro,3,baseball,hasta secundaria,no,no
306,oscuro,claros,alto,oscuro,2,baseball,hasta primaria,no,no
307,oscuro,oscuros,alto,oscuro,1,baseball,hasta secundaria,si,si
308,oscuro,claros,bajo,claro,3,baseball,hasta primaria,no,no
309,oscuro,claros,mediano,oscuro,1,futbol,hasta secundaria,no,no
310,claro,claros,mediano,claro,1,baseball,hasta primaria,no,no
311,claro,claros,mediano,claro,3,baseball,hasta primaria,no,no
312,oscuro,oscuros,bajo,claro,1,baseball,hasta secundaria,no,no
313,oscuro,claros,bajo,claro,3,baseball,hasta secundaria,si,no
314,claro,oscuros,mediano,oscuro,1,baseball,universitario,no,no
315,claro,oscuros,mediano,claro,1,futbol,universitario,si,si
316,oscuro,oscuros,alto,claro,1,baseball,hasta primaria,si,si
317,oscuro,claros,alto,claro,3,futbol,hasta secundaria,si,no
318,claro,oscuros,alto,claro,2,futbol,hasta primaria,no,no
319,claro,oscuros,bajo,claro,3,futbol,universitario,si,no
320,claro,oscuros,alto,claro,3,baseball,hasta secundaria,no,no
321,claro,claros,mediano,oscuro,3,baseball,hasta primaria,no,no
322,oscuro,claros,alto,claro,1,futbol,universitario,no,no
323,oscuro,claros,bajo,claro,3,baseball,hasta secundaria,no,no
324,oscuro,oscuros,alto,oscuro,3,futbol,hasta secundaria,si,no
325,claro,oscuros,bajo,oscuro,1,futbol,hasta primaria,si,si
326,oscuro,claros,alto,oscuro,2,futbol,universitario,si,si
327,claro,claros,bajo,oscuro,2,futbol,hasta secundaria,no,no
328,oscuro,claros,mediano,oscuro,1,baseball,hasta secundaria,si,si
329,claro,claros,bajo,claro,1,baseball,hasta primaria,si,no
330,oscuro,oscuros,alto,claro,3,futbol,hasta secundaria,si,no
331,claro,claros,bajo,claro,1,futbol,hasta primaria,no,no
332,oscuro,claros,bajo,oscuro,1,baseball,hasta secundaria,no,no
333,claro,oscuros,alto,oscuro,2,futbol,hasta secundaria,si,si
334,oscuro,oscuros,mediano,oscuro,1,baseball,universitario,si,si
335,oscuro,oscuros,alto,claro,1,futbol,hasta secundaria,si,si
336,claro,claros,bajo,claro,2,baseball,universitario,no,no
337,claro,claros,alto,oscuro,2,futbol,universitario,no,no
338,claro,oscuros,alto,oscuro,2,baseball,hasta primaria,no,no
339,claro,oscuros,mediano,oscuro,1,baseball,hasta primaria,si,si
340,claro,oscuros,mediano,oscuro,3,futbol,hasta primaria,si,no
341,oscuro,claros,mediano,oscuro,3,baseball,hasta primaria,no,no
342,claro,oscuros,alto,claro,3,baseball,hasta primaria,si,no
343,claro,oscuros,mediano,oscuro,2,futbol,hasta secundaria,no,no
344,oscuro,oscuros,bajo,oscuro,1,futbol,hasta primaria,no,no
345,oscuro,oscuros,bajo,claro,2,baseball,hasta primaria,no,no
346,oscuro,claros,alto,claro,2,futbol,universitario,no,no
347,oscuro,claros,bajo,oscuro,3,futbol,hasta primaria,si,no
348,claro,claros,bajo,oscuro,3,baseball,universitario,no,no
349,claro,oscuros,mediano,oscuro,2,futbol,hasta primaria,no,no
350,oscuro,oscuros,bajo,oscuro,1,baseball,universitario,no,no
